timestamp,open,high,low,close,volume,price
2025-03-08,86801.74,86897.25,85218.47,86222.45,12989.23054,86222.45
2025-03-09,86222.46,86500.0,80000.0,80734.37,26115.39345,80734.37
2025-03-10,80734.48,84123.46,77459.91,78595.86,47633.38405,78595.86
2025-03-11,78595.86,83617.4,76606.0,82932.99,48770.06853,82932.99
2025-03-12,82932.99,84539.85,80607.65,83680.12,31933.986,83680.12
2025-03-13,83680.12,84336.33,79939.9,81115.78,27546.27412,81115.78
2025-03-14,81115.78,85309.71,80818.84,83983.2,26858.52755,83983.2
2025-03-15,83983.19,84676.28,83618.0,84338.44,11324.7332,84338.44
2025-03-16,84338.44,85117.04,81981.12,82574.53,17596.12531,82574.53
2025-03-17,82574.52,84756.83,82456.0,84010.03,17214.74358,84010.03
2025-03-18,84010.02,84021.74,81134.66,82715.03,17610.89883,82715.03
2025-03-19,82715.03,87000.0,82547.16,86845.94,28151.05374,86845.94
2025-03-20,86845.93,87453.67,83655.23,84223.39,22090.30463,84223.39
2025-03-21,84223.38,84850.33,83175.25,84088.79,11956.97443,84088.79
2025-03-22,84088.79,84539.17,83625.1,83840.59,5420.22114,83840.59
2025-03-23,83840.59,86129.64,83809.75,86082.5,8461.97813,86082.5
2025-03-24,86082.5,88765.43,85519.09,87498.16,30115.62111,87498.16
2025-03-25,87498.16,88539.63,86310.0,87392.87,22643.25248,87392.87
2025-03-26,87392.88,88275.0,85860.0,86909.17,18408.78485,86909.17
2025-03-27,86909.17,87756.39,85800.0,87232.01,17098.03897,87232.01
2025-03-28,87232.01,87515.67,83585.0,84424.38,27182.73169,84424.38
2025-03-29,84424.38,84624.73,81644.81,82648.54,11696.39864,82648.54
2025-03-30,82648.53,83534.64,81565.0,82389.99,9864.49508,82389.99
2025-03-31,82390.0,83943.08,81278.52,82550.01,20569.13885,82550.01
2025-04-01,82550.0,85579.46,82432.74,85158.34,20190.39697,85158.34
2025-04-02,85158.35,88500.0,82320.0,82516.29,39931.457,82516.29
2025-04-03,82516.28,83998.02,81211.24,83213.09,27337.84135,83213.09
2025-04-04,83213.09,84720.0,81659.0,83889.87,32915.53976,83889.87
2025-04-05,83889.87,84266.0,82379.95,83537.99,9360.40468,83537.99
2025-04-06,83537.99,83817.63,77153.83,78430.0,27942.71436,78430.0
2025-04-07,78430.0,81243.58,74508.0,79163.24,78387.53089,79163.24
2025-04-08,79163.24,80867.99,76239.9,76322.42,35317.32063,76322.42
2025-04-09,76322.42,83588.0,74620.0,82615.22,75488.28772,82615.22
2025-04-10,82615.22,82753.21,78464.36,79607.3,33284.80718,79607.3
2025-04-11,79607.3,84300.0,78969.58,83423.84,34435.43797,83423.84
2025-04-12,83423.83,85905.0,82792.95,85276.9,18470.74437,85276.9
2025-04-13,85276.91,86100.0,83034.23,83760.0,24680.04181,83760.0
2025-04-14,83760.0,85799.99,83678.0,84591.58,28659.09348,84591.58
2025-04-15,84591.58,86496.42,83600.0,83643.99,20910.99528,83643.99
2025-04-16,83643.99,85500.0,83111.64,84030.38,20867.24519,84030.38
2025-04-17,84030.38,85470.01,83736.26,84947.91,13728.84772,84947.91
2025-04-18,84947.92,85132.08,84303.96,84474.69,6529.96315,84474.69
2025-04-19,84474.7,85677.99,84364.45,85077.01,9666.58153,85077.01
2025-04-20,85077.0,85320.76,83949.52,85179.24,8091.67725,85179.24
2025-04-21,85179.24,88465.99,85144.76,87516.23,31773.37262,87516.23
2025-04-22,87516.22,93888.0,87076.03,93442.99,43872.74705,93442.99
2025-04-23,93442.99,94696.05,91935.41,93691.08,27404.16808,93691.08
2025-04-24,93691.07,94005.0,91660.01,93980.47,19497.06071,93980.47
2025-04-25,93980.47,95758.04,92855.96,94638.68,27500.66648,94638.68
2025-04-26,94638.68,95199.0,93870.69,94628.0,9415.06875,94628.0
2025-04-27,94628.0,95369.0,93602.58,93749.3,11162.841,93749.3
2025-04-28,93749.29,95630.0,92800.01,95011.18,22157.53351,95011.18
2025-04-29,95011.18,95461.53,93742.54,94256.82,16955.3402,94256.82
2025-04-30,94256.82,95228.45,92910.0,94172.0,17661.2751,94172.0
2025-05-01,94172.0,97424.02,94130.43,96489.91,21380.45343,96489.91
2025-05-02,96489.9,97895.68,96350.0,96887.14,14905.74811,96887.14
2025-05-03,96887.13,96935.67,95753.01,95856.42,9723.34838,95856.42
2025-05-04,95856.42,96304.48,94151.38,94277.62,11036.38342,94277.62
2025-05-05,94277.61,95199.0,93514.1,94733.68,17251.18189,94733.68
2025-05-06,94733.68,96920.65,93377.0,96834.02,16122.64513,96834.02
2025-05-07,96834.02,97732.0,95784.61,97030.5,16644.83854,97030.5
